volume_frio_diario,volume_frio_acumulado,frio_1_kwh,frio_2_kwh,total_frio_diario,total_frio_acumulado,co2_1_kwh,co2_2_kwh,acm_co2_1,acm_co2_2,total_co2_acumulado,volume_ar_diario,volume_ar_acumulado,ar_1_kwh,ar_2_kwh,total_co2_diario_ar,total_caldeira_diario,total_caldeira_acumulado,data,consumo_utilidades_diario,consumo_utilidades_acumulado,total_co2_acumulado_ar,volume_etanol_3.5g_m3,volume_etanol_0g_m3,total_torres_diario,total_torres_acumulado
13530.0,13530.0,7254.1,6458.5,13712.6,13712.6,2000.1,4377.8,2000.1,4377.8,6377.9,919.0,919.0,3425.9,569.3,6377.9,2537.5,2537.5,2018-11-01,27623.0,27623.0,3995.2,2671.0,10859.0,999.8,999.8
14077.0,27607.0,10670.1,5987.5,16657.6,30370.199999999997,1933.2,4861.6,3933.3,9239.400000000001,13172.7,944.0,1863.0,3600.7,576.4,6794.8,2394.5,4932.0,2018-11-02,31332.199999999997,58955.2,8172.299999999999,2668.0,11409.0,1308.2,2308.0
15515.0,43122.0,7254.1,6458.5,13712.6,44082.799999999996,2000.1,4377.8,5933.4,13617.2,19550.6,1160.0,3023.0,3425.9,569.3,6377.9,2537.5,7469.5,2018-11-03,27623.0,86578.2,12167.5,3215.0,12300.0,999.8,3307.8
15653.0,58775.0,9909.4,6483.6,16393.0,60475.799999999996,4170.8,4311.8,10104.2,17929.0,28033.199999999997,239.0,3262.0,3033.8,534.5,8482.6,2205.4,9674.9,2018-11-04,31969.0,118547.2,15735.8,3621.0,12032.0,1319.7,4627.5
14393.0,73168.0,8464.4,6201.4,14665.8,75141.59999999999,4380.5,5798.2,14484.7,23727.2,38211.899999999994,723.0,3985.0,3443.8,545.0,10178.7,2088.7,11763.599999999999,2018-11-05,32334.7,150881.9,19724.6,2851.0,11542.0,1412.7,6040.2
12242.0,85410.0,7254.6,5131.3,12385.900000000001,87527.5,3793.7,6560.8,18278.4,30288.0,48566.399999999994,544.0,4529.0,3215.9,856.9,10354.5,2283.4,14046.999999999998,2018-11-06,30469.600000000002,181351.5,23797.399999999998,2319.0,9923.0,1373.0,7413.2
13345.0,98755.0,7181.3,6013.2,13194.5,100722.0,5201.7,3917.4,23480.100000000002,34205.4,57685.49999999999,173.0,4702.0,2883.5,505.5,9119.1,1523.3,15570.299999999997,2018-11-07,28355.4,209706.9,27186.399999999998,3050.0,10295.0,1129.5,8542.7
14181.0,112936.0,8700.0,6134.4,14834.4,115556.4,4920.1,4714.1,28400.200000000004,38919.5,67319.7,620.0,5322.0,3328.6,553.0,9634.2,2327.0,17897.299999999996,2018-11-08,32048.9,241755.8,31067.999999999996,2903.0,11278.0,1371.7,9914.400000000001
15017.0,127953.0,11281.7,5958.5,17240.2,132796.6,2629.2,5297.4,31029.400000000005,44216.9,75246.3,857.0,6179.0,3522.1,608.8,7926.599999999999,2273.8,20171.099999999995,2018-11-09,33359.3,275115.1,35198.899999999994,3134.0,11883.0,1787.8,11702.2
14872.0,142825.0,10831.2,5915.8,16747.0,149543.6,2806.9,5545.8,33836.3,49762.700000000004,83599.0,1735.0,7914.0,3924.8,605.4,8352.7,2206.1,22377.199999999993,2018-11-10,33466.5,308581.6,39729.09999999999,2513.0,12359.0,1630.5,13332.7
13998.0,156823.0,7056.8,5354.3,12411.1,161954.7,4890.4,3897.0,38726.700000000004,53659.700000000004,92386.4,110.0,8024.0,2813.8,528.1,8787.4,1434.7,23811.899999999994,2018-11-11,27088.2,335669.8,43070.99999999999,2651.0,11347.0,1113.1,14445.800000000001
13041.0,169864.0,6873.8,5274.2,12148.0,174102.7,6363.4,4347.0,45090.100000000006,58006.700000000004,103096.79999999999,642.0,8666.0,3431.3,547.9,10710.4,1620.0,25431.899999999994,2018-11-12,29403.4,365073.2,47050.19999999999,2204.0,10837.0,945.8,15391.6
15334.0,185198.0,9477.5,7280.5,16758.0,190860.7,6129.8,5260.5,51219.90000000001,63267.200000000004,114487.09999999999,1696.0,10362.0,3908,444.0,11390.3,1807.9,27239.799999999996,2018-11-13,35725.2,400798.4,51402.19999999999,3967.0,11367.0,1417.0,16808.6
14817.0,200015.0,11282.2,6607.0,17889.2,208749.90000000002,2081.7,5301.4,53301.600000000006,68568.6,121870.2,1861.0,12223.0,3957.9,419.6,7383.099999999999,2548.8,29788.599999999995,2018-11-14,33598.4,434396.80000000005,55779.69999999999,3051.0,11766.0,1399.8,18208.399999999998
15576.0,215591.0,4267.8,10924.2,15192.0,223941.90000000002,6748.2,1930.6,60049.8,70499.20000000001,130549.0,737.0,12960.0,3432.9,393.8,8678.8,2129.3,31917.899999999994,2018-11-15,31221.5,465618.30000000005,59606.39999999999,3589.0,11987.0,1394.7,19603.1
14636.0,230227.0,9996.5,5575.5,15572.0,239513.90000000002,1875.0,5158.6,61924.8,75657.80000000002,137582.6,1208.0,14168.0,3712.3,412.4,7033.6,2220.5,34138.399999999994,2018-11-16,30445.3,496063.60000000003,63731.099999999984,2659.0,11977.0,1494.5,21097.6
17434.0,247661.0,13009.9,7510.0,20519.9,260033.80000000002,3716.7,5701.0,65641.5,81358.80000000002,147000.30000000002,1855.0,16023.0,3962.2,412.0,9417.7,2255.5,36393.899999999994,2018-11-17,38368.100000000006,534431.7000000001,68105.29999999999,3871.0,13563.0,1800.8,22898.399999999998
15093.0,262754.0,8825.4,6640.6,15466.0,275499.80000000005,4251.3,4324.8,69892.8,85683.60000000002,155576.40000000002,264.0,16287.0,3128.9,362.2,8576.1,1575.4,37969.299999999996,2018-11-18,30354.4,564786.1000000001,71596.4,3693.0,11400.0,1245.8,24144.199999999997
13792.0,276546.0,5944.2,4687.3,10631.5,286131.30000000005,4175.1,3729.6,74067.90000000001,89413.20000000003,163481.10000000003,72.0,16359.0,2774.7,333.7,7904.700000000001,1661.0,39630.299999999996,2018-11-19,24248.1,589034.2000000001,74704.79999999999,3315.0,10477.0,942.5,25086.699999999997
13401.0,289947.0,8114.8,5607.4,13722.2,299853.50000000006,1840.6,4777.5,75908.50000000001,94190.70000000003,170099.20000000004,14.0,16373.0,3577,438.5,6618.1,2397.6,42027.899999999994,2018-11-20,27986.0,617020.2000000001,78720.29999999999,3456.0,9945.0,1232.6,26319.299999999996
13341.0,303288.0,8673.5,5487.9,14161.4,314014.9000000001,1824.4,5294.2,77732.90000000001,99484.90000000002,177217.80000000005,2004.0,18377.0,4003.1,430.8,7118.6,2452.8,44480.7,2018-11-21,29503.9,646524.1000000001,83154.19999999998,2938.0,10403.0,1337.2,27656.499999999996
14910.0,318198.0,11688.5,6047.1,17735.6,331750.50000000006,2549.8,5393.1,80282.70000000001,104878.00000000003,185160.70000000004,1684.0,20061.0,3924,506.6,7942.900000000001,2167.7,46648.399999999994,2018-11-22,33789.5,680313.6000000001,87584.79999999999,2221.0,12689.0,1512.7,29169.199999999997
16511.0,334709.0,9716.0,6528.0,16244.0,347994.50000000006,3065.6,4868.2,83348.30000000002,109746.20000000003,193094.50000000003,1484.0,21545.0,3822,396.2,7933.799999999999,1851.4,48499.799999999996,2018-11-23,31356.699999999997,711670.3,91802.99999999999,2883.0,13628.0,1109.3,30278.499999999996
16824.0,351533.0,10299.4,6960.7,17260.1,365254.60000000003,4921.0,4395.6,88269.30000000002,114141.80000000003,202411.10000000003,300.0,21845.0,3126.3,436.2,9316.6,1801.0,50300.799999999996,2018-11-24,33248.399999999994,744918.7000000001,95365.49999999999,3704.0,13120.0,1308.2,31586.699999999997
13715.0,365248.0,10722.8,6153.6,16876.4,382131.00000000006,3335.8,4782.1,91605.10000000002,118923.90000000004,210529.00000000003,546.0,22391.0,3335.6,379.8,8117.900000000001,2115.6,52416.399999999994,2018-11-25,32330.7,777249.4,99080.89999999998,2771.0,10944.0,1505.4,33092.1
14882.0,380130.0,10792.7,5732.6,16525.300000000003,398656.30000000005,1853.3,5353.5,93458.40000000002,124277.40000000004,217735.80000000002,1953.0,24344.0,4040.7,539.1,7206.8,2485.4,54901.799999999996,2018-11-26,32165.700000000004,809415.1,103660.69999999998,2817.0,12065.0,1368.4,34460.5
15309.0,395439.0,7200.7,6524.1,13724.8,412381.10000000003,1838.1,4660.8,95296.50000000003,128938.20000000004,224234.7,1230.0,25574.0,"3680,,3",642.9,6498.9,1928.6,56830.399999999994,2018-11-27,23772.9,833188.0,104303.59999999998,2515.0,12794.0,977.7,35438.2
18175.0,413614.0,6794.4,9756.4,16550.8,428931.9,3468.4,4799.5,98764.90000000002,133737.70000000004,232502.6,1293.0,26867.0,3731.7,685.7,8267.9,2353.4,59183.799999999996,2018-11-28,32697.3,865885.3,108720.99999999997,2388.0,15787.0,1107.8,36546.0
19002.0,432616.0,10212.8,10216.3,20429.1,449361.0,2845.8,6456.6,101610.70000000003,140194.30000000005,241805.0,2251.0,29118.0,4172.2,784.1,9302.400000000001,2498.4,61682.2,2018-11-29,38930.0,904815.3,113677.29999999997,3465.0,15537.0,1743.8,38289.8
17109.0,449725.0,11315.4,8018.5,19333.9,468694.9,2261.6,5643.4,103872.30000000003,145837.70000000004,249710.0,2036.0,31154.0,4073.8,713.5,7905.0,2126.6,63808.799999999996,2018-11-30,35781.3,940596.6000000001,118464.59999999998,3500.0,13609.0,1628.5,39918.3
17253.0,17253.0,11532.5,7370.6,18903.1,18903.1,3139.8,5556.7,3139.8,5556.7,8696.5,1890.0,1890.0,4045.5,690.6,8696.5,2038.6,2038.6,2018-12-01,35945.0,35945.0,4736.1,4006.0,13247.0,1570.7,1570.7
14956.0,32209.0,9502.6,6363.4,15866.0,34769.1,4743.4,4961.8,7883.2,10518.5,18401.7,1162.0,3052.0,3672.4,698.6,9705.2,1869.6,3908.2,2018-12-02,33155.4,69100.4,9107.1,3779.0,11177.0,1343.6,2914.3
15839.0,48048.0,10675.5,6881.1,17556.6,52325.7,4300.0,4661.1,12183.2,15179.6,27362.800000000003,488.0,3540.0,3201.1,762.2,8961.1,2249.5,6157.7,2018-12-03,34234.2,103334.59999999999,13070.400000000001,3966.0,11873.0,1503.7,4418.0
15865.0,63913.0,11012.9,6982.6,17995.5,70321.2,2558.1,5870.6,14741.300000000001,21050.2,35791.5,2313.0,5853.0,4166.6,769.0,8428.7,2532.5,8690.2,2018-12-04,35655.0,138989.59999999998,18006.0,3972.0,11893.0,1762.7,6180.7
13355.0,77268.0,9282.1,5316.6,14598.7,84919.9,1889.2,5392.3,16630.5,26442.5,43073.0,2138.0,7991.0,4016.6,643.0,7281.5,2311.2,11001.400000000001,2018-12-05,30294.800000000003,169284.39999999997,22665.6,2820.0,10535.0,1443.8,7624.5
16287.0,93555.0,8411.0,8628.6,17039.6,101959.5,3861.2,5031.7,20491.7,31474.2,51965.9,1440.0,9431.0,3819.4,670.8,8892.9,2005.9,13007.300000000001,2018-12-06,33689.899999999994,202974.29999999996,27155.8,4630.0,11657.0,1261.3,8885.8
18201.0,111756.0,8058.6,11297.4,19356.0,121315.5,3852.6,8882.1,24344.3,40356.3,64700.600000000006,2001.0,11432.0,4052.4,749.1,12734.7,2279.8,15287.100000000002,2018-12-07,41090.3,244064.59999999998,31957.3,4303.0,13898.0,1918.3,10804.099999999999
14827.0,126583.0,5306.6,5292.6,10599.2,131914.7,5572.2,8227.3,29916.5,48583.600000000006,78500.1,1760.0,13192.0,3922.8,588.0,13799.5,1675.7,16962.800000000003,2018-12-08,32146.0,276210.6,36468.1,3023.0,11804.0,1560.8,12364.899999999998
14736.0,141319.0,5589.9,5921.0,11510.9,143425.6,4796.3,7971.7,34712.8,56555.3,91268.1,955.0,14147.0,3593.3,790.2,12768.0,2201.3,19164.100000000002,2018-12-09,32303.800000000003,308514.39999999997,40851.6,3470.0,11266.0,1440.1,13804.999999999998
14722.0,156041.0,7396.3,7165.6,14561.900000000001,157987.5,5025.7,9742.8,39738.5,66298.1,106036.6,2677.0,16824.0,4219.2,1213.6,14768.5,2297.3,21461.4,2018-12-10,38674.8,347189.19999999995,46284.399999999994,3459.0,11263.0,1614.3,15419.299999999997
17701.0,173742.0,7164.2,8958.7,16122.900000000001,174110.4,2563.7,11738.6,42302.2,78036.70000000001,120338.90000000001,3327.0,20151.0,4610.6,845.5,14302.3,2551.2,24012.600000000002,2018-12-11,40157.7,387346.89999999997,51740.49999999999,4573.0,13128.0,1725.2,17144.499999999996
14767.0,188509.0,7876.0,7955.3,15831.3,189941.69999999998,3128.1,8651.0,45430.299999999996,86687.70000000001,132118.0,2001.0,22152.0,4057.0,979.5,11779.1,2337.4,26350.000000000004,2018-12-12,36313.600000000006,423660.5,56776.99999999999,3070.0,11697.0,1329.3,18473.799999999996
15625.0,204134.0,10179.2,8714.6,18893.800000000003,208835.5,3496.8,9795.6,48927.1,96483.30000000002,145410.4,2788.0,24940.0,4330.7,927.4,13292.400000000001,2143.4,28493.400000000005,2018-12-13,41404.200000000004,465064.7,62035.09999999999,3859.0,11766.0,1816.5,20290.299999999996
16784.0,220918.0,12068.3,8252.6,20320.9,229156.4,5933.9,8329.5,54861.0,104812.80000000002,159673.8,1912.0,26852.0,4025.4,907.5,14263.4,1758.0,30251.400000000005,2018-12-14,42994.0,508058.7,66967.99999999999,4404.0,12380.0,1718.8,22009.099999999995
16999.0,237917.0,11267.7,9869.2,21136.9,250293.3,6082.2,5756.8,60943.2,110569.60000000002,171512.8,1618.0,28470.0,3890.9,914.0,11839.0,1987.9,32239.300000000007,2018-12-15,41241.7,549300.4,71772.89999999998,4542.0,12457.0,1473.0,23482.099999999995
14989.0,252906.0,12891.4,9362.1,22253.5,272546.8,6180.7,7407.8,67123.9,117977.40000000002,185101.3,1563.0,30033.0,3894.5,910.7,13588.5,2162.4,34401.700000000004,2018-12-16,44847.1,594147.5,76578.09999999998,3801.0,11188.0,2037.5,25519.599999999995
16339.0,269245.0,10242.8,10598.6,20841.4,293388.2,6068.3,11078.3,73192.2,129055.70000000003,202247.9,3150.0,33183.0,4414.3,1145.6,17146.6,2056.8,36458.50000000001,2018-12-17,47598.0,641745.5,82137.99999999997,4032.0,12307.0,1993.3,27512.899999999994
18350.0,287595.0,11168.7,11447.0,22615.7,316003.9,3692.2,12492.8,76884.4,141548.50000000003,218432.9,2733.0,35916.0,4418.2,814.5,16185.0,2106.2,38564.700000000004,2018-12-18,48635.3,690380.8,87370.69999999997,4786.0,13564.0,2495.7,30008.599999999995
14037.0,301632.0,10696.5,8361.9,19058.4,335062.30000000005,4730.0,8951.7,81614.4,150500.20000000004,232114.6,2283.0,38199.0,4152.9,780.2,13681.7,2218.3,40783.00000000001,2018-12-19,41602.4,731983.2000000001,92303.79999999997,2802.0,11235.0,1710.9,31719.499999999996
13603.0,315235.0,6831.6,8714.3,15545.9,350608.20000000007,5936.6,10920.6,87551.0,161420.80000000005,248971.80000000002,310.0,38509.0,3155.6,784.4,16857.2,1919.3,42702.30000000001,2018-12-20,40219.3,772202.5000000001,96243.79999999997,3182.0,10421.0,1956.9,33676.399999999994
14714.0,329949.0,8750.8,8900.8,17651.6,368259.80000000005,5801.4,7419.5,93352.4,168840.30000000005,262192.7,1664.0,40173.0,3953.1,757.6,13220.9,1779.1,44481.40000000001,2018-12-21,39051.7,811254.2000000001,100954.49999999997,4099.0,10615.0,1689.4,35365.799999999996
16817.0,346766.0,13770.6,9741.8,23512.4,391772.20000000007,6400.5,6538.7,99752.9,175379.00000000006,275131.9,2776.0,42949.0,4439.2,795.2,12939.2,2809.4,47290.80000000001,2018-12-22,46618.4,857872.6000000001,106188.89999999997,4898.0,11919.0,2123.0,37488.799999999996
16878.0,363644.0,9698.3,8271.8,17970.1,409742.30000000005,5093.1,10032.5,104846.0,185411.50000000006,290257.5,2197.0,45146.0,4175.6,815.4,15125.6,2371.2,49662.00000000001,2018-12-23,42742.4,900615.0000000001,111179.89999999997,3677.0,13201.0,2284.5,39773.299999999996
20359.0,384003.0,9166.6,9647.5,18814.1,428556.4,3020.8,13339.8,107866.8,198751.30000000005,306618.1,2403.0,47549.0,4116.1,1123.2,16360.599999999999,2513.0,52175.00000000001,2018-12-24,45383.5,945998.5000000001,116419.19999999997,4722.0,15637.0,2456.5,42229.799999999996
17493.0,401496.0,5299.8,8938.1,14237.900000000001,442794.30000000005,2266.3,11282.6,110133.1,210033.90000000005,320167.0,675.0,48224.0,3441.2,768.6,13548.900000000001,2353.7,54528.700000000004,2018-12-25,36133.0,982131.5000000001,120628.99999999997,4151.0,13342.0,1782.7,44012.49999999999
18972.0,420468.0,6632.1,10405.8,17037.9,459832.20000000007,3563.0,12155.5,113696.1,222189.40000000005,335885.5,1643.0,49867.0,3964.0,787.1,15718.5,2441.0,56969.700000000004,2018-12-26,42028.600000000006,1024160.1000000001,125380.09999999998,4595.0,14377.0,2080.1,46092.59999999999
21208.0,441676.0,9770.6,11248.4,21019.0,480851.20000000007,4070.7,11482.8,117766.8,233672.20000000004,351439.0,2467.0,52334.0,4237.8,774.5,15553.5,2269.7,59239.4,2018-12-27,46079.2,1070239.3,130392.39999999998,4888.0,16320.0,2224.7,48317.29999999999
16782.0,458458.0,9403.4,8595.2,17998.6,498849.80000000005,4196.2,6197.4,121963.0,239869.60000000003,361832.6,1765.0,54099.0,3972.4,759.2,10393.599999999999,2075.5,61314.9,2018-12-28,36917.399999999994,1107156.7,135123.99999999997,4369.0,12413.0,1718.1,50035.39999999999
14111.0,472569.0,8575.4,7682.2,16257.599999999999,515107.4,5451.5,8035.1,127414.5,247904.70000000004,375319.19999999995,2204.0,56303.0,4135.8,783.3,13486.6,2601.1,63916.0,2018-12-29,38982.8,1146139.5,140043.09999999998,3596.0,10515.0,1718.4,51753.79999999999
13907.0,486476.0,9424.3,8273.5,17697.8,532805.2000000001,5723.6,5542.1,133138.1,253446.80000000005,386584.89999999997,1642.0,57945.0,3952.1,737.7,11265.7,1877.5,65793.5,2018-12-30,37130.100000000006,1183269.6,144732.89999999997,4453.0,9454.0,1599.3,53353.09999999999
14894.0,501370.0,8778.2,8242.4,17020.6,549825.8,2553.1,7076.5,135691.2,260523.30000000005,396214.49999999994,1085.0,59030.0,3666.6,728.8,9629.6,1734.7,67528.2,2018-12-31,34513.3,1217782.9000000001,149128.29999999996,4417.0,10477.0,1733.0,55086.09999999999
15571.0,15571.0,6685.1,7862.2,14547.3,14547.3,1235.0,9793.0,1235.0,9793.0,11028.0,657.0,657.0,3342.6,701.3,11028.0,2238.0,2238.0,2019-01-01,33832.7,33832.7,4043.9,4490.0,11081.0,1975.5,1975.5
14627.0,30198.0,6568.4,8624.3,15192.7,29740.0,522.7,10736.7,1757.7,20529.7,22287.4,807.0,1464.0,3518.8,732.7,11259.4,2294.4,4532.4,2019-01-02,34626.4,68459.1,8295.4,4478.0,10149.0,1628.4,3603.9
15649.0,45847.0,10879.7,8316.6,19196.3,48936.3,877.0,12414.6,2634.7,32944.3,35579.0,1734.0,3198.0,3887.7,1065.5,13291.6,2182.6,6715.0,2019-01-03,41517.0,109976.1,13248.6,4255.0,11394.0,1893.3,5497.2
18202.0,64049.0,9879.4,9044.6,18924.0,67860.3,3329.2,12895.4,5963.9,45839.700000000004,51803.6,3042.0,6240.0,4574.1,766.4,16224.6,2403.1,9118.1,2019-01-04,44764.4,154740.5,18589.1,4886.0,13316.0,1872.2,7369.4
13600.0,77649.0,5301.9,7597.0,12898.9,80759.2,3619.5,9716.6,9583.4,55556.3,65139.7,1610.0,7850.0,3838.4,747.1,13336.1,1659.1,10777.2,2019-01-05,33875.2,188615.7,23174.6,3941.0,9659.0,1395.6,8765.0
16005.0,93654.0,4074.6,7830.7,11905.3,92664.5,5702.6,10585.8,15286.0,66142.1,81428.1,1243.0,9093.0,3717.0,775.2,16288.4,1627.9,12405.1,2019-01-06,35541.9,224157.6,27666.8,4466.0,11539.0,1228.1,9993.1
18423.0,112077.0,7700.3,8998.1,16698.4,109362.9,3561.0,11914.6,18847.0,78056.70000000001,96903.7,2835.0,11928.0,4410.2,824.8,15475.6,2590.1,14995.2,2019-01-07,41648.6,265806.2,32901.8,4526.0,13897.0,1649.5,11642.6
13344.0,125421.0,9957.7,7415.1,17372.8,126735.7,1846.7,7237.0,20693.7,85293.70000000001,105987.4,1575.0,13503.0,3428.7,1559.7,9083.7,1849.2,16844.4,2019-01-08,34982.7,300788.9,37890.2,3097.0,10247.0,1688.6,13331.2
16471.0,141892.0,12952.4,10268.2,23220.6,149956.3,2191.6,5436.4,22885.3,90730.1,113615.4,456.0,13959.0,3260.0,868.9,7628.0,1896.2,18740.6,2019-01-09,39110.7,339899.6,42019.1,3681.0,12790.0,2237.0,15568.2
17230.0,159122.0,13396.0,10247.9,23643.9,173600.2,3139.2,5322.3,26024.5,96052.40000000001,122076.9,239.0,14198.0,3060.2,862.8,8461.5,2263.2,21003.8,2019-01-10,40614.1,380513.7,45942.1,4528.0,12702.0,2322.5,17890.7
16506.0,175628.0,9879.2,9361.0,19240.2,192840.4,5314.8,5422.9,31339.3,101475.3,132814.6,1321.0,15519.0,3639.4,769.7,10737.7,1873.9,22877.7,2019-01-11,38103.4,418617.1,50351.2,4330.0,12176.0,1842.5,19733.2
17071.0,192699.0,12674.6,10816.2,23490.8,216331.2,5810.4,7198.5,37149.7,108673.8,145823.5,1812.0,17331.0,3996.9,759.4,13008.9,2419.9,25297.6,2019-01-12,45876.2,464493.3,55107.5,4727.0,12344.0,2200.3,21933.5
12541.0,205240.0,9167.5,6935.6,16103.1,232434.3,4544.8,5883.7,41694.5,114557.5,156252.0,874.0,18205.0,3569.9,434.6,10428.5,1831.7,27129.3,2019-01-13,33617.4,498110.7,59112.0,2823.0,9718.0,1249.6,23183.1
15943.0,221183.0,10321.0,7174.5,17495.5,249929.8,3497.3,9591.4,45191.8,124148.9,169340.7,1774.0,19979.0,3687.3,0.0,13088.7,2424.7,29554.0,2019-01-14,38535.8,536646.5,62799.3,3969.0,11974.0,1839.6,25022.7
16021.0,237204.0,12942.2,8745.9,21688.1,271617.9,2569.7,9853.4,47761.5,134002.3,181763.8,3327.0,23306.0,4652.1,770.6,12423.1,2737.7,32291.7,2019-01-15,44730.7,581377.2,68222.0,3645.0,12376.0,2459.1,27481.8
12533.0,249737.0,9858.2,6657.0,16515.2,288133.1,3656.2,6893.4,51417.7,140895.69999999998,192313.4,414.0,23720.0,3200.9,541.8,10549.6,2167.4,34459.1,2019-01-16,35616.1,616993.3,71964.7,1997.0,10536.0,2641.2,30123.0
18191.0,267928.0,12429.8,8697.5,21127.3,309260.4,3644.0,9280.2,55061.7,150175.9,205237.6,228.0,23948.0,3095.4,787.1,12924.2,1924.3,36383.4,2019-01-17,43932.5,660925.8,75847.2,4164.0,14027.0,4074.2,34197.2
19381.0,287309.0,11674.3,6174.8,17849.1,327109.5,5341.8,9910.3,60403.5,160086.19999999998,220489.7,475.0,24423.0,3512.5,756.5,15252.1,1661.5,38044.9,2019-01-18,42533.9,703459.7,80116.2,4394.0,14987.0,3502.2,37699.4
14964.0,302273.0,5982.2,4570.9,10553.1,337662.6,5820.1,9807.6,66223.6,169893.8,236117.4,468.0,24891.0,3348.7,738.3,15627.7,1561.7,39606.6,2019-01-19,34954.2,738413.9,84203.2,3720.0,11244.0,3124.7,40824.1
16099.0,318372.0,11623.1,6379.9,18003.0,355665.6,4025.8,7453.9,70249.40000000001,177347.69999999998,247597.1,756.0,25647.0,3457.9,760.8,11479.7,1841.8,41448.4,2019-01-20,39581.7,777995.6,88421.9,4886.0,11213.0,4038.5,44862.6
13962.0,332334.0,10855.0,5873.6,16728.6,372394.2,2231.2,8934.2,72480.6,186281.9,258762.5,2897.0,28544.0,4482.8,830.1,11165.4,2832.7,44281.1,2019-01-21,40548.0,818543.6,93734.8,3118.0,10844.0,4508.4,49371.0
16659.0,348993.0,13206.0,7785.8,20991.8,393386.0,2418.0,10015.0,74898.6,196296.9,271195.5,573.0,29117.0,3309.5,845.1,12433.0,2313.6,46594.7,2019-01-22,44969.3,863512.9,97889.4,4253.0,12406.0,5076.3,54447.3
15220.0,364213.0,8628.0,8959.0,17587.0,410973.0,3881.0,8880.0,78779.6,205176.9,283956.5,91.0,29208.0,2879.6,855.1,12761.0,2001.4,48596.1,2019-01-23,40288.1,903801.0,101624.1,4128.0,11092.0,4204.0,58651.3
17596.0,381809.0,6826.0,10476.6,17302.6,428275.6,4281.5,12998.1,83061.1,218175.0,301236.1,1456.0,30664.0,3823.0,834.4,17279.6,2287.7,50883.8,2019-01-24,45664.7,949465.7,106281.5,5140.0,12456.0,4137.4,62788.7
18172.0,399981.0,10484.5,8107.5,18592.0,446867.6,6315.6,11779.0,89376.70000000001,229954.0,319330.7,2393.0,33057.0,4258.8,844.5,18094.6,2478.2,53362.0,2019-01-25,48614.5,998080.2,111384.8,5764.0,12408.0,4346.4,67135.1
16283.0,416264.0,10601.6,5643.2,16244.8,463112.4,7013.2,8094.5,96389.90000000001,238048.5,334438.4,1573.0,34630.0,3898.0,780.8,15107.7,1789.4,55151.4,2019-01-26,40545.2,1038625.4,116063.6,5804.0,10479.0,2724.5,69859.6
14435.0,430699.0,9310.6,6786.4,16097.0,479209.4,6927.8,6490.8,103317.70000000001,244539.3,347857.0,937.0,35567.0,3528.1,964.5,13418.6,2028.0,57179.4,2019-01-27,38444.3,1077069.7,120556.2,3751.0,10684.0,2408.1,72267.7
17006.0,447705.0,12430.0,9138.2,21568.2,500777.6,3453.4,8623.3,106771.1,253162.59999999998,359933.7,1357.0,36924.0,3796.1,747.4,12076.7,2250.0,59429.4,2019-01-28,42964.7,1120034.4,125099.7,5362.0,11644.0,2526.3,74794.0
17138.0,464843.0,13505.0,10635.8,24140.8,524918.4,4740.4,6037.9,111511.5,259200.49999999997,370712.0,1919.0,38843.0,4011.8,759.6,10778.3,2310.5,61739.9,2019-01-29,43878.7,1163913.1,129871.1,4885.0,12253.0,1877.7,76671.7
17740.0,17740.0,11280.699999999997,9381.1,20661.799999999996,20661.799999999996,6144.3,10493.4,6144.3,10493.4,16637.7,1983.0,1983.0,4065.4,782.3,16637.7,2486.4,2486.4,2019-02-01,47659.09999999999,47659.09999999999,4847.7,5229.0,12511.0,3025.5,3025.5
16325.0,34065.0,13132.300000000003,6848.3,19980.600000000002,40642.399999999994,6777.2,9280.6,12921.5,19774.0,32695.5,2188.0,4171.0,4140.5,806.8,16057.8,2292.5,4778.9,2019-02-02,46875.7,94534.79999999999,9795.0,4539.0,11786.0,3597.5,6623.0
17483.0,51548.0,13235.0,12203.9,25438.9,66081.29999999999,6533.5,7729.4,19455.0,27503.4,46958.4,1282.0,5453.0,3728.4,834.1,14262.9,1950.2,6729.099999999999,2019-02-03,50293.0,144827.8,14357.5,4824.0,12659.0,4078.5,10701.5
12470.0,64018.0,9644.499999999993,4535.6,14180.099999999993,80261.39999999998,5141.4,4464.3,24596.4,31967.7,56564.100000000006,638.0,6091.0,3328.5,932.8,9605.7,1651.2,8380.3,2019-02-04,30879.199999999997,175707.0,18618.8,3058.0,9412.0,1180.9,11882.4
17305.0,81323.0,15282.899999999994,5216.5,20499.399999999994,100760.79999999997,6203.4,6872.8,30799.800000000003,38840.5,69640.3,3246.0,9337.0,4567.9,811.7,13076.2,2664.5,11044.8,2019-02-05,43932.7,219639.7,23998.399999999998,5055.0,12250.0,2313.0,14195.4
18122.0,99445.0,14051.200000000012,5026.7,19077.900000000012,119838.69999999998,6673.8,7928.4,37473.600000000006,46768.9,84242.5,1325.0,10662.0,3720.3,753.5,14602.2,2106.0,13150.8,2019-02-06,42588.60000000001,262228.30000000005,28472.199999999997,4806.0,13316.0,2328.7,16524.1
16647.0,116092.0,4713.1,5634.8,10347.900000000001,130186.59999999998,6880.2,11329.4,44353.8,58098.3,102452.1,751.0,11413.0,3467.6,701.6,18209.6,1568.9,14719.699999999999,2019-02-07,36161.5,298389.80000000005,32641.399999999998,4374.0,12273.0,1865.9,18390.0
